,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
1386,David Rozehnal,Centre-Back,25,Club Brugge,Jupiler Pro League,Paris SG,France,2005-2006,2500000.0,3000000
1387,Sergey Semak,Central Midfield,29,Paris SG,Ligue 1,FK Moskau,Russia,2005-2006,2500000.0,3000000
1388,Hossam Ghaly,Central Midfield,24,Feyenoord,Eredivisie,Spurs,England,2005-2006,2500000.0,3000000
1389,Moumouni Dagano,Centre-Forward,24,Guingamp,Ligue 2,FC Sochaux,France,2005-2006,2500000.0,3000000
1390,Luis García,Central Midfield,24,RCD Mallorca,LaLiga,Espanyol,Spain,2005-2006,2500000.0,3000000
1391,Marcus Bent,Centre-Forward,27,Everton,Premier League,Charlton,England,2005-2006,2250000.0,3000000
1392,Wayne Routledge,Left Winger,20,Crystal Palace,Championship,Spurs,England,2005-2006,2250000.0,3000000
1393,Emir Spahic,Centre-Back,25,Torpedo Moscow,Premier Liga,Loko Moscow,Russia,2005-2006,2000000.0,3000000
1394,David Connolly,Centre-Forward,28,Leicester,Championship,Wigan,England,2005-2006,2000000.0,3000000
1395,Leonardo Pisculichi,Attacking Midfield,21,Argentinos,Torneo Final,RCD Mallorca,Spain,2005-2006,1750000.0,3000000
1396,Claudio Maldonado,Defensive Midfield,26,Cruzeiro,Série A,Santos FC,Brazil,2005-2006,1500000.0,3000000
1397,Carlos Vela,Right Winger,16,Chivas, Mexico,Arsenal,England,2005-2006,1000000.0,3000000
1398,Alessandro Gamberini,Centre-Back,23,Bologna,Serie B,Fiorentina,Italy,2005-2006,300000.0,3000000
1399,Abdul Kader Keita,Right Winger,23,Al Sadd, Qatar,LOSC Lille,France,2005-2006,,3000000
1400,Amr Zaki,Centre-Forward,22,Enppi,Premier League,Loko Moscow,Russia,2005-2006,,3000000
1401,Sebastián Taborda,Centre-Forward,24,Defensor, Uruguay,Dep. La Coruña,Spain,2005-2006,,3000000
1402,Aleksandr Anyukov,Right-Back,22,KS Samara,Premier Liga,Zenit S-Pb,Russia,2005-2006,,3000000
1403,Leandro Fernández,Centre-Back,22,River Plate,Torneo Final,Dinamo Moscow,Russia,2005-2006,,3000000
1404,Aritz Aduriz,Centre-Forward,24,Real Valladolid,LaLiga2,Athletic Bilbao,Spain,2005-2006,,3000000
1405,Mikel Arteta,Central Midfield,23,Real Sociedad,LaLiga,Everton,England,2005-2006,8000000.0,2800000
1406,Emanuel Pogatetz,Centre-Back,22,Bay. Leverkusen,1.Bundesliga,Middlesbrough,England,2005-2006,3000000.0,2710000
1407,Jon Stead,Centre-Forward,22,Blackburn,Premier League,Sunderland,England,2005-2006,3000000.0,2700000
1408,Julio dos Santos,Central Midfield,22,Cerro Porteño, Paraguay,Bayern Munich ,Germany,2005-2006,2000000.0,2700000
1409,Yaya Touré,Central Midfield,22,Metalurh D.,Premier Liga,Olympiacos,China,2005-2006,2000000.0,2700000
1410,Dennis Oliech,Right Winger,20,Al Arabi, Qatar,FC Nantes,France,2005-2006,,2700000
1411,Ade Akinbiyi,Centre-Forward,31,Burnley,Championship,Sheffield Utd.,England,2005-2006,2750000.0,2630000
1412,Kléberson,Central Midfield,26,Man Utd,Premier League,Besiktas,Turkey,2005-2006,5500000.0,2600000
1413,Enzo Maresca,Central Midfield,25,Juventus,Serie A,Sevilla FC,Spain,2005-2006,7500000.0,2500000
1414,França,Centre-Forward,29,Bay. Leverkusen,1.Bundesliga,Kashiwa Reysol,Japan,2005-2006,5000000.0,2500000
1415,Luis Jiménez,Attacking Midfield,21,Ternana,Serie B,Fiorentina,Italy,2005-2006,4000000.0,2500000
1416,Shinji Ono,Attacking Midfield,26,Feyenoord,Eredivisie,Urawa Reds,Japan,2005-2006,3750000.0,2500000
1417,Wesley Sonck,Centre-Forward,26,AFC Ajax,Eredivisie,Bor. M'gladbach,Germany,2005-2006,3500000.0,2500000
1418,Thimothée Atouba,Left-Back,23,Spurs,Premier League,Hamburger SV,Germany,2005-2006,3000000.0,2500000
1419,Nicolás Frutos,Centre-Forward,24,Independiente,Torneo Final,RSC Anderlecht,Belgium,2005-2006,3000000.0,2500000
1420,Lukas Zelenka,Attacking Midfield,26,Sparta Praha,HET Liga,Manisaspor,Turkey,2005-2006,2500000.0,2500000
1421,Nuno Espírito Santo,Goalkeeper,31,FC Porto,Liga NOS,Dinamo Moscow,Russia,2005-2006,2500000.0,2500000
1422,Takayuki Suzuki,Centre-Forward,29,Kashima Antlers,J1 League,Red Star,Serbia,2005-2006,2500000.0,2500000
1423,Bakari Koné,Right Winger,23,FC Lorient,Ligue 2,OGC Nice,France,2005-2006,2250000.0,2500000
1424,Luciano Galletti,Right Winger,25,Real Zaragoza,LaLiga,Atlético Madrid,Spain,2005-2006,2000000.0,2500000
1425,Nunes,Centre-Back,28,Braga,Liga NOS,RCD Mallorca,Spain,2005-2006,1500000.0,2500000
1426,Mark González,Left Winger,20,Albacete,LaLiga2,Liverpool,England,2005-2006,1500000.0,2500000
1427,Ron Vlaar,Centre-Back,20,AZ Alkmaar,Eredivisie,Feyenoord,Netherlands,2005-2006,1500000.0,2500000
1428,Morten Skoubo,Centre-Forward,25,Bröndby IF,Superligaen,Real Sociedad,Spain,2005-2006,1250000.0,2500000
1429,Jorge Luís,Left-Back,29,Braga,Liga NOS,Dinamo Moscow,Russia,2005-2006,1000000.0,2500000
1430,Bostjan Cesar,Centre-Back,22,Dinamo Zagreb,1.HNL,Marseille,France,2005-2006,1000000.0,2500000
1431,Quincy Owusu-Abeyie,Left Winger,19,Arsenal,Premier League,Spartak Moscow,Russia,2005-2006,750000.0,2500000
1432,Edixon Perea,Centre-Forward,21,Atl. Nacional, Colombia,G. Bordeaux,France,2005-2006,,2500000
1433,Felipe,Left Winger,27,Fluminense,Série A,Al Sadd, Qatar,2005-2006,,2500000
1434,Federico Insúa,Attacking Midfield,25,Independiente,Torneo Final,Boca Juniors,Argentina,2005-2006,4500000.0,2480000
1435,Naldo,Centre-Back,22,Juventude,Série A,Werder Bremen,Germany,2005-2006,2750000.0,2400000
1436,Garry O'Connor,Centre-Forward,22,Hibernian FC,Premiership,Loko Moscow,Russia,2005-2006,2000000.0,2400000
1437,Jhon Viáfara,Defensive Midfield,26,Once Caldas, Colombia,Portsmouth,England,2005-2006,,2400000
1438,Lisandro López,Centre-Forward,22,Racing Club,Torneo Final,FC Porto,Portugal,2005-2006,5500000.0,2300000
1439,Michael Brown,Central Midfield,28,Spurs,Premier League,Fulham,England,2005-2006,3000000.0,2300000
1440,Sören Larsen,Centre-Forward,23,Djurgarden,Allsvenskan,FC Schalke 04,Germany,2005-2006,,2300000
1441,Nolberto Solano,Right Midfield,31,Aston Villa,Premier League,Newcastle,England,2005-2006,5000000.0,2250000
1442,Paul Konchesky,Left-Back,24,Charlton,Premier League,West Ham,England,2005-2006,3500000.0,2250000
1443,Diomansy Kamara,Right Winger,24,Modena,Serie B,West Brom,England,2005-2006,2500000.0,2250000
1444,Darren Carter,Central Midfield,21,Birmingham,Premier League,West Brom,England,2005-2006,2250000.0,2250000
1445,Marek Heinz,Centre-Forward,28,Bor. M'gladbach,1.Bundesliga,Galatasaray,Turkey,2005-2006,1500000.0,2250000
1446,Damien Francis,Central Midfield,26,Norwich,Championship,Wigan,England,2005-2006,550000.0,2250000
1447,John Welsh,Central Midfield,21,Liverpool,Premier League,Hull City,England,2005-2006,250000.0,2250000
1448,Gustavo Nery,Left-Back,27,Werder Bremen,1.Bundesliga,Corinthians,Brazil,2005-2006,2500000.0,2200000
1449,Adam Virgo,Centre-Back,22,Brighton,Championship,Celtic,England,2005-2006,,2200000
1450,Ivica Dragutinovic,Centre-Back,29,Standard Liège,Jupiler Pro League,Sevilla FC,Spain,2005-2006,2500000.0,2100000
1451,Santiago Solari,Left Midfield,28,Real Madrid,LaLiga,Inter,Italy,2005-2006,7000000.0,2000000
1452,Nuno Valente,Left-Back,30,FC Porto,Liga NOS,Everton,England,2005-2006,5000000.0,2000000
1453,Young-pyo Lee,Left-Back,28,PSV Eindhoven,Eredivisie,Spurs,England,2005-2006,4000000.0,2000000
1454,Rabiu Afolabi,Centre-Back,25,Austria Vienna,Bundesliga,FC Sochaux,France,2005-2006,3800000.0,2000000
1455,Tomasz Frankowski,Centre-Forward,31,Elche CF,LaLiga2,Wolves,England,2005-2006,3750000.0,2000000
1456,Patrick Owomoyela,Right-Back,25,Arm. Bielefeld,1.Bundesliga,Werder Bremen,Germany,2005-2006,3250000.0,2000000
1457,João Alves,Central Midfield,24,Braga,Liga NOS,Sporting CP,Portugal,2005-2006,3000000.0,2000000
1458,Sébastien Mazure,Centre-Forward,26,SM Caen,Ligue 2,Saint-Étienne,France,2005-2006,3000000.0,2000000
1459,Sasa Ilic,Central Midfield,27,Partizan,SuperLiga,Galatasaray,Turkey,2005-2006,3000000.0,2000000
1460,Miguel Ángel,Defensive Midfield,26,Málaga CF,LaLiga,Real Betis,Spain,2005-2006,2000000.0,2000000
1461,Chun-soo Lee,Second Striker,23,Real Sociedad,LaLiga,Ulsan,South Korea,2005-2006,2000000.0,2000000
1462,Martin Kamburov,Centre-Forward,25,Lok. Plovdiv, Bulgaria,Al Ahli, Qatar,2005-2006,2000000.0,2000000
1463,Javier Arizmendi,Centre-Forward,21,Atlético Madrid,LaLiga,Dep. La Coruña,Spain,2005-2006,1500000.0,2000000
1464,Marián Had,Centre-Back,23,Zbrojovka Brno,HET Liga,Loko Moscow,Russia,2005-2006,1250000.0,2000000
1465,Martin Andresen,Central Midfield,28,Stabaek IF,OBOS-ligaen,SK Brann,Norway,2005-2006,1250000.0,2000000
1466,Eldin Jakupovic,Goalkeeper,21,Grasshoppers,Super League,Loko Moscow,Russia,2005-2006,750000.0,2000000
1467,Anthony Seric,Left-Back,26,Lazio,Serie A,Panathinaikos,China,2005-2006,600000.0,2000000
1468,Danny Gabbidon,Centre-Back,25,Cardiff,Championship,West Ham,England,2005-2006,600000.0,2000000
1469,James Collins,Centre-Back,21,Cardiff,Championship,West Ham,England,2005-2006,600000.0,2000000
1470,Júan,Attacking Midfield,23,Fluminense,Série A,Flamengo,Brazil,2005-2006,250000.0,2000000
1471,Heidar Helguson,Centre-Forward,27,Watford,Championship,Fulham,England,2005-2006,200000.0,2000000
1472,Pavel Pogrebnyak,Centre-Forward,22,Spartak Moscow,Premier Liga,Tom Tomsk,Russia,2005-2006,50000.0,2000000
1473,Ben Foster,Goalkeeper,22,Stoke City,Championship,Man Utd,England,2005-2006,50000.0,2000000
1474,Denis Kolodin,Centre-Back,23,KS Samara,Premier Liga,Dinamo Moscow,Russia,2005-2006,,2000000
1475,Borges,Centre-Forward,25,Paraná,Série A,Vegalta Sendai,Japan,2005-2006,,2000000
1476,Ognjen Koroman,Right Winger,26,KS Samara,Premier Liga,Akhmat Grozny,Russia,2005-2006,,2000000
1477,Daniel Bilos,Left Midfield,24,CA Banfield,Torneo Final,Boca Juniors,Argentina,2005-2006,,2000000
1478,Mads Junker,Centre-Forward,24,Nordsjaelland,Superligaen,Vitesse,Netherlands,2005-2006,,2000000
1479,Andriy Shevchenko,Centre-Forward,29,AC Milan,Serie A,Chelsea,England,2006-2007,51000000.0,43300000
1480,Michael Carrick,Defensive Midfield,25,Spurs,Premier League,Man Utd,England,2006-2007,26500000.0,27200000
1481,Mahamadou Diarra,Defensive Midfield,25,Olympique Lyon,Ligue 1,Real Madrid,Spain,2006-2007,20000000.0,26000000
1482,Joaquín,Right Winger,25,Real Betis,LaLiga,Valencia CF,Spain,2006-2007,22000000.0,25000000
1483,Zlatan Ibrahimovic,Centre-Forward,24,Juventus,Serie B,Inter,Italy,2006-2007,25000000.0,24800000
1484,Sergio Agüero,Centre-Forward,18,Independiente,Torneo Final,Atlético Madrid,Spain,2006-2007,5000000.0,21700000
1485,Fernando Gago,Defensive Midfield,20,Boca Juniors,Torneo Final,Real Madrid,Spain,2006-2007,12000000.0,20500000
1486,John Mikel Obi,Defensive Midfield,19,FK Lyn,Eliteserien,Chelsea,England,2006-2007,,20000000
1487,Dirk Kuyt,Right Winger,26,Feyenoord,Eredivisie,Liverpool,England,2006-2007,17250000.0,18000000
1488,Émerson,Defensive Midfield,30,Juventus,Serie B,Real Madrid,Spain,2006-2007,26000000.0,16000000
1489,Obafemi Martins,Centre-Forward,21,Inter,Serie A,Newcastle,England,2006-2007,12000000.0,16000000
1490,Dimitar Berbatov,Centre-Forward,25,Bay. Leverkusen,1.Bundesliga,Spurs,England,2006-2007,17000000.0,15700000
1491,Damien Duff,Right Midfield,27,Chelsea,Premier League,Newcastle,England,2006-2007,15000000.0,15500000
1492,Ruud van Nistelrooy,Centre-Forward,30,Man Utd,Premier League,Real Madrid,Spain,2006-2007,32000000.0,15000000
1493,Ricardo Oliveira,Centre-Forward,26,Real Betis,LaLiga,AC Milan,Italy,2006-2007,6000000.0,15000000
1494,Carlos Tévez,Second Striker,22,Corinthians,Série A,West Ham,England,2006-2007,15000000.0,14600000
1495,Javier Mascherano,Defensive Midfield,22,Corinthians,Série A,West Ham,England,2006-2007,11800000.0,14600000
1496,Anatoliy Tymoshchuk,Defensive Midfield,27,Shakhtar D.,Premier Liga,Zenit S-Pb,Russia,2006-2007,6000000.0,14500000
1497,Gianluca Zambrotta,Right-Back,29,Juventus,Serie B,FC Barcelona,Spain,2006-2007,26000000.0,14000000
1498,Khalid Boulahrouz,Centre-Back,24,Hamburger SV,1.Bundesliga,Chelsea,England,2006-2007,13000000.0,13200000
1499,Ashley Young,Left Midfield,21,Watford,Premier League,Aston Villa,England,2006-2007,6500000.0,13200000
1500,David Pizarro,Central Midfield,26,Inter,Serie A,AS Roma,Italy,2006-2007,8000000.0,13000000
1501,Matthew Upson,Centre-Back,27,Birmingham,Championship,West Ham,England,2006-2007,9000000.0,12600000
1502,Didier Zokora,Defensive Midfield,25,Saint-Étienne,Ligue 1,Spurs,England,2006-2007,12500000.0,12350000
1503,Nicolas Anelka,Centre-Forward,27,Fenerbahce,Süper Lig,Bolton,England,2006-2007,12000000.0,12000000
1504,Eidur Gudjohnsen,Centre-Forward,27,Chelsea,Premier League,FC Barcelona,Spain,2006-2007,12000000.0,12000000
1505,Gonzalo Higuaín,Centre-Forward,19,River Plate,Torneo Final,Real Madrid,Spain,2006-2007,12000000.0,12000000
1506,Pablo Aimar,Attacking Midfield,26,Valencia CF,LaLiga,Real Zaragoza,Spain,2006-2007,18000000.0,11000000
1507,Cani,Attacking Midfield,24,Real Zaragoza,LaLiga,Villarreal CF,Spain,2006-2007,11000000.0,11000000
1508,Andy Johnson,Centre-Forward,25,Crystal Palace,Championship,Everton,England,2006-2007,11000000.0,11000000
1509,Vincent Kompany,Centre-Back,20,RSC Anderlecht,Jupiler Pro League,Hamburger SV,Germany,2006-2007,13500000.0,10500000
1510,Lukas Podolski,Centre-Forward,21,1. FC Köln,2.Bundesliga,Bayern Munich ,Germany,2006-2007,12000000.0,10000000
1511,Tomás Rosicky,Attacking Midfield,25,Bor. Dortmund,1.Bundesliga,Arsenal,England,2006-2007,11000000.0,10000000
1512,Francesco Tavano,Centre-Forward,27,FC Empoli,Serie A,Valencia CF,Spain,2006-2007,8500000.0,10000000
1513,Stiliyan Petrov,Central Midfield,27,Celtic,Premiership,Aston Villa,England,2006-2007,7350000.0,10000000
1514,Pascal Chimbonda,Right-Back,27,Wigan,Premier League,Spurs,England,2006-2007,4000000.0,10000000
1515,Patrick Vieira,Defensive Midfield,30,Juventus,Serie B,Inter,Italy,2006-2007,28000000.0,9500000
1516,Jermaine Pennant,Right Winger,23,Birmingham,Championship,Liverpool,England,2006-2007,5500000.0,9100000
1517,Maniche,Central Midfield,28,Dinamo Moscow,Premier Liga,Atlético Madrid,Spain,2006-2007,13000000.0,9000000
1518,Craig Bellamy,Left Winger,26,Blackburn,Premier League,Liverpool,England,2006-2007,9000000.0,9000000
1519,Fernando Cavenaghi,Centre-Forward,23,Spartak Moscow,Premier Liga,G. Bordeaux,France,2006-2007,6500000.0,9000000
1520,Arouna Koné,Centre-Forward,22,Roda JC,Eredivisie,PSV Eindhoven,Netherlands,2006-2007,6000000.0,9000000
1521,Wagner,Attacking Midfield,21,Cruzeiro,Série A,Ittihad, Saudi Arabia,2006-2007,,9000000
1522,Javier Chevantón,Centre-Forward,25,Monaco,Ligue 1,Sevilla FC,Spain,2006-2007,7000000.0,8900000
1523,Robert Huth,Centre-Back,21,Chelsea,Premier League,Middlesbrough,England,2006-2007,2750000.0,8900000
1524,Amauri,Centre-Forward,26,Chievo Verona,Serie A,US Palermo,Italy,2006-2007,4000000.0,8750000
1525,Matías Fernández,Attacking Midfield,20,Colo Colo, Chile,Villarreal CF,Spain,2006-2007,11000000.0,8700000
1526,Rafael Sóbis,Centre-Forward,21,Internacional,Série A,Real Betis,Spain,2006-2007,7500000.0,8500000
1527,Daniel Van Buyten,Centre-Back,28,Hamburger SV,1.Bundesliga,Bayern Munich ,Germany,2006-2007,14000000.0,8000000
1528,Adrian Mutu,Centre-Forward,27,Juventus,Serie B,Fiorentina,Italy,2006-2007,11000000.0,8000000
1529,Kim Källström,Defensive Midfield,23,Stade Rennais,Ligue 1,Olympique Lyon,France,2006-2007,7500000.0,8000000
1530,Nilmar,Centre-Forward,21,Olympique Lyon,Ligue 1,Corinthians,Brazil,2006-2007,6000000.0,8000000
1531,Massimo Oddo,Right-Back,30,Lazio,Serie A,AC Milan,Italy,2006-2007,10000000.0,7750000
1532,Ronaldo,Centre-Forward,30,Real Madrid,LaLiga,AC Milan,Italy,2006-2007,27500000.0,7500000
1533,Asier del Horno,Left-Back,25,Chelsea,Premier League,Valencia CF,Spain,2006-2007,12000000.0,7500000
1534,Fatih Tekke,Centre-Forward,28,Trabzonspor,Süper Lig,Zenit S-Pb,Russia,2006-2007,8250000.0,7500000
1535,Emile Heskey,Centre-Forward,28,Birmingham,Championship,Wigan,England,2006-2007,5500000.0,7500000
1536,Diego Lugano,Centre-Back,25,São Paulo,Série A,Fenerbahce,Turkey,2006-2007,3750000.0,7500000
1537,Ederson,Attacking Midfield,20,Juventude,Série A,OGC Nice,France,2006-2007,1500000.0,7500000
1538,Ashley Cole,Left-Back,25,Arsenal,Premier League,Chelsea,England,2006-2007,17000000.0,7400000
1539,Fabio Cannavaro,Centre-Back,32,Juventus,Serie B,Real Madrid,Spain,2006-2007,14000000.0,7000000
1540,Mateja Kezman,Centre-Forward,27,Atlético Madrid,LaLiga,Fenerbahce,Turkey,2006-2007,12500000.0,7000000
1541,Alejandro Domínguez,Attacking Midfield,25,Rubin Kazan,Premier Liga,Zenit S-Pb,Russia,2006-2007,7000000.0,7000000
1542,Jérémy Toulalan,Defensive Midfield,22,FC Nantes,Ligue 1,Olympique Lyon,France,2006-2007,7000000.0,7000000
1543,Maicon,Right-Back,24,Monaco,Ligue 1,Inter,Italy,2006-2007,7000000.0,6800000
1544,Luís Boa Morte,Left Midfield,29,Fulham,Premier League,West Ham,England,2006-2007,3500000.0,6800000
1545,Mido,Centre-Forward,23,AS Roma,Serie A,Spurs,England,2006-2007,10500000.0,6750000
1546,Joleon Lescott,Centre-Back,23,Wolves,Championship,Everton,England,2006-2007,8000000.0,6500000
1547,Marcelo,Left-Back,18,Fluminense,Série A,Real Madrid,Spain,2006-2007,6500000.0,6500000
1548,Stefan Kießling,Centre-Forward,22,1.FC Nuremberg,1.Bundesliga,Bay. Leverkusen,Germany,2006-2007,5000000.0,6500000
1549,David Odonkor,Right Winger,22,Bor. Dortmund,1.Bundesliga,Real Betis,Spain,2006-2007,4500000.0,6500000
1550,Stephen Makinwa,Centre-Forward,22,US Palermo,Serie A,Lazio,Italy,2006-2007,4000000.0,6300000
1551,Alou Diarra,Defensive Midfield,25,Lens,Ligue 1,Olympique Lyon,France,2006-2007,5000000.0,6250000
1552,Costinha,Defensive Midfield,31,Dinamo Moscow,Premier Liga,Atlético Madrid,Spain,2006-2007,15000000.0,6000000
1553,Mark van Bommel,Defensive Midfield,29,FC Barcelona,LaLiga,Bayern Munich ,Germany,2006-2007,12000000.0,6000000
1554,Nikola Zigic,Centre-Forward,25,Red Star,SuperLiga,Racing,Spain,2006-2007,8000000.0,6000000
1555,Georgios Seitaridis,Right-Back,25,Dinamo Moscow,Premier Liga,Atlético Madrid,Spain,2006-2007,8000000.0,6000000
1556,Diego,Attacking Midfield,21,FC Porto,Liga NOS,Werder Bremen,Germany,2006-2007,8000000.0,6000000
1557,Joris Mathijsen,Centre-Back,26,AZ Alkmaar,Eredivisie,Hamburger SV,Germany,2006-2007,6000000.0,6000000
1558,Ilan,Centre-Forward,25,FC Sochaux,Ligue 1,Saint-Étienne,France,2006-2007,5000000.0,6000000
1559,Fernando Navarro,Left-Back,24,FC Barcelona,LaLiga,RCD Mallorca,Spain,2006-2007,2500000.0,6000000
1560,Gary McSheffrey,Left Winger,23,Coventry City,Championship,Birmingham,England,2006-2007,1250000.0,6000000
1561,Sidi Keita,Defensive Midfield,21,R. Strasbourg,Ligue 2,Lens,France,2006-2007,1000000.0,6000000
1562,Javi Martínez,Defensive Midfield,17,CA Osasuna B,2ª B - Grupo III,Athletic Bilbao,Spain,2006-2007,,6000000
1563,Sébastien Frey,Goalkeeper,26,Parma,Serie A,Fiorentina,Italy,2006-2007,15000000.0,5750000
1564,Edú Dracena,Centre-Back,25,Cruzeiro,Série A,Fenerbahce,Turkey,2006-2007,1500000.0,5700000
1565,Ramón,Attacking Midfield,18,Corinthians,Série A,CSKA Moscow,Russia,2006-2007,,5650000
1566,Yaya Touré,Central Midfield,23,Olympiacos,Super League,Monaco,France,2006-2007,8000000.0,5500000
1567,Fabio Grosso,Left-Back,28,US Palermo,Serie A,Inter,Italy,2006-2007,7000000.0,5500000
1568,Daniel Moreira,Second Striker,28,Toulouse,Ligue 1,Stade Rennais,France,2006-2007,7000000.0,5500000
1569,Mario Santana,Second Striker,24,US Palermo,Serie A,Fiorentina,Italy,2006-2007,6500000.0,5500000
1570,Fábio Simplício,Central Midfield,26,Parma,Serie A,US Palermo,Italy,2006-2007,6000000.0,5500000
1571,Matías Delgado,Attacking Midfield,23,FC Basel,Super League,Besiktas,Turkey,2006-2007,6000000.0,5500000
1572,Souleymane Diawara,Centre-Back,27,FC Sochaux,Ligue 1,Charlton,England,2006-2007,4000000.0,5400000
1573,Cristian Ledesma,Central Midfield,23,Lecce,Serie B,Lazio,Italy,2006-2007,9000000.0,5300000
1574,Emiliano Bonazzoli,Centre-Forward,27,Parma,Serie A,Sampdoria,Italy,2006-2007,5000000.0,5250000
1575,Fernando Morientes,Centre-Forward,30,Liverpool,Premier League,Valencia CF,Spain,2006-2007,10000000.0,5000000
1576,Aleksandr Kerzhakov,Centre-Forward,24,Zenit S-Pb,Premier Liga,Sevilla FC,Spain,2006-2007,7500000.0,5000000
1577,Diego Milito,Centre-Forward,27,Genoa,Serie B,Real Zaragoza,Spain,2006-2007,6000000.0,5000000
1578,Benoît Pedretti,Defensive Midfield,25,Olympique Lyon,Ligue 1,AJ Auxerre,France,2006-2007,6000000.0,5000000
1579,Lilian Thuram,Centre-Back,34,Juventus,Serie B,FC Barcelona,Spain,2006-2007,5000000.0,5000000
1580,Celsinho,Attacking Midfield,17,Portuguesa, Brazil,Loko Moscow,Russia,2006-2007,5000000.0,5000000
1581,Pierre-Alain Frau,Centre-Forward,26,Olympique Lyon,Ligue 1,Paris SG,France,2006-2007,4500000.0,5000000
1582,Ricardo Rocha,Centre-Back,28,Benfica,Liga NOS,Spurs,England,2006-2007,3600000.0,5000000
1583,Johan Elmander,Centre-Forward,25,Bröndby IF,Superligaen,Toulouse,France,2006-2007,3500000.0,5000000
1584,Benoît Assou-Ekotto,Left-Back,22,Lens,Ligue 1,Spurs,England,2006-2007,2800000.0,5000000
1585,Pavel Pogrebnyak,Centre-Forward,23,Tom Tomsk,Premier Liga,Zenit S-Pb,Russia,2006-2007,2500000.0,5000000
1586,Mousa Dembélé,Central Midfield,18,Willem II,Eredivisie,AZ Alkmaar,Netherlands,2006-2007,1750000.0,5000000
1587,Denílson,Defensive Midfield,18,São Paulo,Série A,Arsenal,England,2006-2007,,5000000
1588,Edinson Cavani,Centre-Forward,19,Danubio FC, Uruguay,US Palermo,Italy,2006-2007,,5000000
1589,Jan Vennegoor of Hesselink,Centre-Forward,27,PSV Eindhoven,Eredivisie,Celtic,England,2006-2007,8500000.0,4900000
1590,Per Mertesacker,Centre-Back,21,Hannover 96,1.Bundesliga,Werder Bremen,Germany,2006-2007,10000000.0,4700000
1591,Nelson Valdez,Centre-Forward,22,Werder Bremen,1.Bundesliga,Bor. Dortmund,Germany,2006-2007,5000000.0,4700000
1592,Riki,Centre-Forward,25,Getafe CF,LaLiga,Dep. La Coruña,Spain,2006-2007,6000000.0,4640000
1593,Sébastien Squillaci,Centre-Back,25,Monaco,Ligue 1,Olympique Lyon,France,2006-2007,7500000.0,4500000
1594,Olivier Thomert,Left Midfield,26,Lens,Ligue 1,Stade Rennais,France,2006-2007,6500000.0,4500000
1595,Paulo André,Centre-Back,22,Atlético-PR,Série A,Le Mans,France,2006-2007,6000000.0,4500000
1596,Niko Kranjcar,Attacking Midfield,22,Hajduk Split,1.HNL,Portsmouth,England,2006-2007,5000000.0,4500000
1597,Afonso Alves,Centre-Forward,25,Malmö FF,Allsvenskan,Heerenveen,Netherlands,2006-2007,4500000.0,4500000
1598,Franck Queudrue,Left-Back,27,Middlesbrough,Premier League,Fulham,England,2006-2007,4500000.0,4500000
1599,Johann Vogel,Defensive Midfield,29,AC Milan,Serie A,Real Betis,Spain,2006-2007,4500000.0,4500000
1600,Federico Insúa,Attacking Midfield,26,Boca Juniors,Torneo Final,Bor. M'gladbach,Germany,2006-2007,4500000.0,4500000
1601,Fitz Hall,Centre-Back,25,Crystal Palace,Championship,Wigan,England,2006-2007,4500000.0,4500000
1602,Deivid,Centre-Forward,26,Sporting CP,Liga NOS,Fenerbahce,Turkey,2006-2007,3500000.0,4500000
1603,Yoann Gourcuff,Attacking Midfield,19,Stade Rennais,Ligue 1,AC Milan,Italy,2006-2007,3500000.0,4500000
1604,Greg Halford,Centre-Back,22,Colchester Utd.,Championship,Reading,England,2006-2007,400000.0,4500000
1605,Dodô,Centre-Forward,32,Botafogo,Série A,Al-Ain FC, United Arab Emirates,2006-2007,,4500000
1606,Cameron Jerome,Centre-Forward,19,Cardiff,Championship,Birmingham,England,2006-2007,5000000.0,4450000
1607,Denny Landzaat,Central Midfield,30,AZ Alkmaar,Eredivisie,Wigan,England,2006-2007,7000000.0,4400000
1608,Andy Reid,Left Midfield,23,Spurs,Premier League,Charlton,England,2006-2007,5700000.0,4200000
1609,Calum Davenport,Centre-Back,24,Spurs,Premier League,West Ham,England,2006-2007,1500000.0,4200000
1610,Fábio Santos,Defensive Midfield,26,Cruzeiro,Série A,Olympique Lyon,France,2006-2007,,4200000
1611,Alex Frei,Centre-Forward,26,Stade Rennais,Ligue 1,Bor. Dortmund,Germany,2006-2007,10000000.0,4100000
1612,Simone Barone,Central Midfield,28,US Palermo,Serie A,Torino,Italy,2006-2007,6000000.0,4100000
1613,Milan Bisevac,Centre-Back,23,Red Star,SuperLiga,Lens,France,2006-2007,1000000.0,4100000
1614,Jason Roberts,Centre-Forward,28,Wigan,Premier League,Blackburn,England,2006-2007,3850000.0,4080000
1615,Salomon Kalou,Left Winger,20,Feyenoord,Eredivisie,Chelsea,England,2006-2007,8500000.0,4000000
1616,Mista,Centre-Forward,27,Valencia CF,LaLiga,Atlético Madrid,Spain,2006-2007,8280000.0,4000000
1617,Jean-Alain Boumsong,Centre-Back,26,Newcastle,Premier League,Juventus,Italy,2006-2007,7500000.0,4000000
1618,Péguy Luyindula,Centre-Forward,27,Marseille,Ligue 1,Paris SG,France,2006-2007,5000000.0,4000000
